address,price,bedrooms,bathrooms,url
"2401 Queens Plz N #502, Long Island City, NY 11101","$695,000",Studio,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-502-Long-Island-City-NY-11101/449921495_zpid/
"3 Court Sq APT 3306, Long Island City, NY 11101","$799,000",Studio,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-APT-3306-Long-Island-City-NY-11101/448488005_zpid/
"42-02 Crescent St #17, Long Island City, NY 11101","$868,000",Studio,1 ba,https://www.zillow.com/homedetails/42-02-Crescent-St-17-Long-Island-City-NY-11101/453091952_zpid/
"3818 31st Street, Long Island City, NY 11101","$1,495,000",Studio,-- ba,https://www.zillow.com/homedetails/3818-31st-St-Long-Island-City-NY-11101/31936543_zpid/
"1136 45th Rd #308A, Long Island City, NY 11101","$765,000",Studio,1 ba,https://www.zillow.com/homedetails/1136-45th-Rd-308A-Long-Island-City-NY-11101/451557704_zpid/
"3857 10th St, Long Island City, NY 11101","$3,500,000",Studio,-- ba,https://www.zillow.com/homedetails/3857-10th-St-Long-Island-City-NY-11101/31936775_zpid/
"38-20 31st Street, Long Island City, NY 11101","$1,398,000",,,https://www.zillow.com/homedetails/3820-31st-St-Long-Island-City-NY-11101/31936544_zpid/
"920 38th Avenue, Long Island City, NY 11101","$4,300,000",,,https://www.zillow.com/homedetails/920-38th-Ave-Long-Island-City-NY-11101/446935517_zpid/
"2218 Jackson Ave #317, Long Island City, NY 11101","$850,000",Studio,1 ba,https://www.zillow.com/homedetails/2218-Jackson-Ave-317-Long-Island-City-NY-11101/442176103_zpid/
"47-28 11th St #1C, Long Island City, NY 11101","$2,350,000",Studio,1 ba,https://www.zillow.com/homedetails/47-28-11th-St-1C-Long-Island-City-NY-11101/450350215_zpid/
"44-27 Purves St #9F, Long Island City, NY 11101","$750,000",Studio,1 ba,https://www.zillow.com/homedetails/44-27-Purves-St-9F-Long-Island-City-NY-11101/83051472_zpid/
"37-26 32nd St #7M, Long Island City, NY 11101","$650,000",Studio,1 ba,https://www.zillow.com/homedetails/37-26-32nd-St-7M-Long-Island-City-NY-11101/2062185148_zpid/
"27-20 42nd Rd #7G, Long Island City, NY 11101","$750,000",Studio,1 ba,https://www.zillow.com/homedetails/27-20-42nd-Rd-7G-Long-Island-City-NY-11101/443194888_zpid/
"45-30 Pearson St #19E, Long Island City, NY 11101","$880,000",Studio,1 ba,https://www.zillow.com/homedetails/45-30-Pearson-St-19E-Long-Island-City-NY-11101/348864752_zpid/
"27-09 40th Ave #3G, Long Island City, NY 11101","$865,000",Studio,1 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-3G-Long-Island-City-NY-11101/447896581_zpid/
"37-26 32nd St #2L, Long Island City, NY 11101","$735,000",Studio,1 ba,https://www.zillow.com/homedetails/37-26-32nd-St-2L-Long-Island-City-NY-11101/2054976642_zpid/
"3 Court Sq #415, Long Island City, NY 11101","$799,500",Studio,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-415-Long-Island-City-NY-11101/2080579871_zpid/
"3 Court Sq #410, Long Island City, NY 11101","$835,000",Studio,1 ba,https://www.zillow.com/homedetails/3-Court-Sq-410-Long-Island-City-NY-11101/2080579812_zpid/
"2401 Queens Plz N #1504, Long Island City, NY 11101","$780,000",Studio,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1504-Long-Island-City-NY-11101/448691183_zpid/
"2401 Queens Plz N #1103, Long Island City, NY 11101","$755,000",Studio,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-1103-Long-Island-City-NY-11101/452995697_zpid/
